Sequencial;Sequencial_Reposta;Resposta;Aluno;Pergunta;Resposta2;NívelRubrica
1;1;1;1;22;Arquivo pessoal de Darlan Rosa.;3
2;2;2;2;1;um personagem criado com o proposito de incentivar as crianças a tomarem vacina;3
12;12;12;2;5;pois ela previne varias doenças e virus;3
14;14;14;2;6;uma doença que trazia paralizia nas crianças;3
13;13;13;2;7;pois elas nos protegem de virus e doenças;3
15;15;15;2;11;pois era mais facil;1
16;16;16;2;13;a animaçao;1
17;17;17;2;15;atualmente ele trabalha como escritor;1
18;18;18;2;16;serve para explicar;1
19;19;19;2;17;sublinhado:Darlan virou ate nome de predio residencial na cidade, circular:aqui sou uma pessoa ilustre;3
20;20;20;2;18;"barreira dos medos: os medos impedindo; deslanchou:caminhou";3
3;3;3;2;20;o criador do Ze Gotinha;3
21;21;21;2;21;ter muito medo;3
22;22;22;2;22;do criador do desenho;2
4;4;4;2;25;tristes, que incentivava as crianças a nao tomarem a vacina;2
5;5;5;2;26;ele foi criado em 1986;3
11;11;11;2;27;incentivar as crianças a tomarem a vacina;2
6;6;6;2;28;ele era tristes no comercial so ficava no canto chorando,mas, hoje ele e feliz e incentiva as crianças e os traços sao melhores que antes;2
7;7;7;2;30;pois ele estava triste por nao ter um nome;3
8;8;8;2;32;foi feita a escolha  com um concurso;2
9;9;9;2;34;pois muitas pessoas sugeriram este nome;3
10;10;10;2;36;um menino do distrito federal;3
23;23;23;3;1;O mascote da vacina.;2
33;33;33;3;5;Porque ela proteje das doenças;3
35;35;35;3;6;Doença que causa paralisia infantil.;3
34;34;34;3;7;Porque a vacina e para o nosso bem.;2
36;36;36;3;11;Porque era o meio de correspondência da época;3
37;37;37;3;13;Porque ele transmite força e coragem.;3
38;38;38;3;15;Trabalha como escultor em Brasília.;3
39;39;39;3;16;Esse recurso serve para transcrever as falas.;2
40;40;40;3;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade. Circulado: ""Aqui, sou uma pessoa ilustre.""";3
41;41;41;3;18;O medo acabou é a campanha foi um sucesso.;3
24;24;24;3;20;Quem inventou o personagem da vacina.;3
42;42;42;3;21;Significa ter muito medo.;3
43;43;43;3;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador.;3
25;25;25;3;25;As propagandas antes do zé gotinha eram assustadoras.;2
26;26;26;3;26;1986.;3
32;32;32;3;27;Para as crianças não tiverem mais medo da vacina.;3
27;27;27;3;28;Era um boneco com duas gotinhas de pólio. Atualmente ele tem braços e pernas;3
28;28;28;3;30;Pois ainda não tinha um nome.;3
29;29;29;3;32;Por meio de um concurso que convidou os brasileiros a mandar sugestões.;3
30;30;30;3;34;Porque os organizadores receberam mais de 10 mil cartas falando que o nome deveria ser Zé Gotinha.;3
31;31;31;3;36;Um menino do Distrito Federal.;3
44;44;44;4;1;Zé gotinha foi o mascote da vacina.;2
54;54;54;4;5;Porque a vacina é para o nosso bem, para nos proteger.;2
56;56;56;4;6;É uma doença que causa paralisia infantil.;3
55;55;55;4;7;Porque a vacina nos protege.;2
57;57;57;4;11;Porque era o meio de correspondência da época.;3
58;58;58;4;13;Porque o personagem é forte e passa coragem para as crianças.;3
59;59;59;4;15;Atualmente ele trabalha como escultor.;3
60;60;60;4;16;Esse recurso serve para transcrever falas.;2
61;61;61;4;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade.
Circulado: ''Aqui, sou uma pessoa ilustre''.";3
62;62;62;4;18;O medo acabou e a campanha foi um sucesso.;3
45;45;45;4;20;Darlan Rosa foi o criador do Zé gotinha.;3
63;63;63;4;21;Significa ter muito medo.;3
64;64;64;4;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador.;3
46;46;46;4;25;As propagandas eram assustadoras antes do Zé gotinha.;2
47;47;47;4;26;O Zé gotinha foi criado em 1986.;3
53;53;53;4;27;A ideia era que alguém forte passasse coragem para quem tinha que se vacinar.;3
48;48;48;4;28;Zé gotinha era um boneco com duas gotinhas de pólio. Hoje ele tem braços e pernas.;3
49;49;49;4;30;Ele aparecia chorando pois não tinha um nome.;3
50;50;50;4;32;A escolha foi feita através de um concurso.;2
